PartcipantID:1
RandID:1
InitialTimeStamp:16-37-09-297
instanceNumber;cx;cy;distances;weights;start;end;sol;max_wt;nCities
11;380,249,824,715,93,370,616,208,80,574;657,209,962,798,789,946,129,521,631,983;0,0,0,0,0,0,380,0,470,0,0,0,94,301,0,65,0,0,470,556,0,94,0,0,523,0,368,0,437,0,0,301,0,0,0,238,478,0,0,825,0,0,523,0,0,610,828,960,941,172,0,65,0,238,610,0,0,0,0,619,380,0,368,478,828,0,0,0,161,908,0,0,0,0,960,0,0,0,117,999,470,470,437,0,941,0,161,117,0,0,0,556,0,825,172,619,908,999,0,0;0,0,0,0,0,0,290,0,551,0,0,0,916,979,0,673,0,0,295,75,0,916,0,0,100,0,219,0,182,0,0,979,0,0,0,806,277,0,0,129,0,0,100,0,0,651,678,52,421,302,0,673,0,806,651,0,0,0,0,752,290,0,219,277,678,0,0,0,492,367,0,0,0,0,52,0,0,0,994,184,551,295,182,0,421,0,492,994,0,0,0,75,0,129,302,752,367,184,0,0;3;7;1824;1354;10
12;373,311,893,949,66,705,110,234,193,238;933,396,337,527,892,223,278,569,168,798;0,591,492,0,271,647,0,718,141,536,591,0,0,676,750,0,756,0,0,368,492,0,0,0,0,0,0,0,460,0,0,676,0,0,0,0,0,671,0,0,271,750,0,0,0,919,671,0,0,549,647,0,0,0,919,0,0,1039,530,931,0,756,0,0,671,0,0,0,0,880,718,0,0,671,0,1039,0,0,679,188,141,0,460,0,0,530,0,679,0,512,536,368,0,0,549,931,880,188,512,0;0,392,269,0,350,867,0,92,697,472,392,0,0,300,87,0,320,0,0,525,269,0,0,0,0,0,0,0,976,0,0,300,0,0,0,0,0,493,0,0,350,87,0,0,0,818,925,0,0,755,867,0,0,0,818,0,0,695,396,138,0,320,0,0,925,0,0,0,0,584,92,0,0,493,0,695,0,0,666,107,697,0,976,0,0,396,0,666,0,778,472,525,0,0,755,138,584,107,778,0;5;6;1811;1271;10
13;373,311,893,949,66,705,110,234,193,238;933,396,337,527,892,223,278,569,168,798;0,591,492,0,271,647,0,718,141,536,591,0,0,676,750,0,756,0,0,368,492,0,0,0,0,0,0,0,460,0,0,676,0,0,0,0,0,671,0,0,271,750,0,0,0,919,671,0,0,549,647,0,0,0,919,0,0,1039,530,931,0,756,0,0,671,0,0,0,0,880,718,0,0,671,0,1039,0,0,679,188,141,0,460,0,0,530,0,679,0,512,536,368,0,0,549,931,880,188,512,0;0,392,269,0,350,867,0,92,697,472,392,0,0,300,87,0,320,0,0,525,269,0,0,0,0,0,0,0,976,0,0,300,0,0,0,0,0,493,0,0,350,87,0,0,0,818,925,0,0,755,867,0,0,0,818,0,0,695,396,138,0,320,0,0,925,0,0,0,0,584,92,0,0,493,0,695,0,0,666,107,697,0,976,0,0,396,0,666,0,778,472,525,0,0,755,138,584,107,778,0;5;3;1710;1526;10
14;131,752,574,849,383,617,131,151,658,897;280,428,366,806,137,606,824,618,862,954;0,727,0,0,0,0,646,0,0,172,727,0,0,343,529,676,0,0,0,0,0,0,0,701,228,0,0,533,0,0,0,343,701,0,0,762,439,303,0,913,0,529,228,0,0,196,421,444,484,287,0,676,0,762,196,0,0,0,295,0,646,0,0,439,421,0,0,147,878,706,0,0,533,303,444,0,147,0,850,0,0,0,0,0,484,295,878,850,0,0,172,0,0,913,287,0,706,0,0,0;0,102,0,0,0,0,901,0,0,882,102,0,0,733,659,939,0,0,0,0,0,0,0,72,814,0,0,926,0,0,0,733,72,0,0,580,289,978,0,921,0,659,814,0,0,517,653,513,488,557,0,939,0,580,517,0,0,0,293,0,901,0,0,289,653,0,0,800,689,262,0,0,926,978,513,0,800,0,903,0,0,0,0,0,488,293,689,903,0,0,882,0,0,921,557,0,262,0,0,0;8;3;1057;1887;10
15;131,752,574,849,383,617,131,151,658,897;280,428,366,806,137,606,824,618,862,954;0,727,0,0,0,0,646,0,0,172,727,0,0,343,529,676,0,0,0,0,0,0,0,701,228,0,0,533,0,0,0,343,701,0,0,762,439,303,0,913,0,529,228,0,0,196,421,444,484,287,0,676,0,762,196,0,0,0,295,0,646,0,0,439,421,0,0,147,878,706,0,0,533,303,444,0,147,0,850,0,0,0,0,0,484,295,878,850,0,0,172,0,0,913,287,0,706,0,0,0;0,102,0,0,0,0,901,0,0,882,102,0,0,733,659,939,0,0,0,0,0,0,0,72,814,0,0,926,0,0,0,733,72,0,0,580,289,978,0,921,0,659,814,0,0,517,653,513,488,557,0,939,0,580,517,0,0,0,293,0,901,0,0,289,653,0,0,800,689,262,0,0,926,978,513,0,800,0,903,0,0,0,0,0,488,293,689,903,0,0,882,0,0,921,557,0,262,0,0,0;1;2;757;2831;10
16;204,649,44,44,925,282,93,932,998,696;738,92,198,592,731,477,283,185,565,914;0,587,0,0,0,1015,811,0,0,424,587,0,0,774,736,0,238,969,0,0,0,0,0,393,0,528,0,592,0,262,0,774,393,0,0,0,0,259,0,0,0,736,0,0,0,0,773,754,421,805,1015,0,528,0,0,0,659,751,351,0,811,238,0,0,773,659,0,0,680,842,0,969,592,259,754,751,0,0,0,466,0,0,0,0,421,351,680,0,0,0,424,0,262,0,805,0,842,466,0,0;0,954,0,0,0,786,309,0,0,426,954,0,0,170,845,0,161,654,0,0,0,0,0,53,0,846,0,590,0,33,0,170,53,0,0,0,0,167,0,0,0,845,0,0,0,0,116,262,445,722,786,0,846,0,0,0,779,352,543,0,309,161,0,0,116,779,0,0,361,387,0,654,590,167,262,352,0,0,0,502,0,0,0,0,445,543,361,0,0,0,426,0,33,0,722,0,387,502,0,0;8;0;1366;2047;10
17;204,649,44,44,925,282,93,932,998,696;738,92,198,592,731,477,283,185,565,914;0,587,0,0,0,1015,811,0,0,424,587,0,0,774,736,0,238,969,0,0,0,0,0,393,0,528,0,592,0,262,0,774,393,0,0,0,0,259,0,0,0,736,0,0,0,0,773,754,421,805,1015,0,528,0,0,0,659,751,351,0,811,238,0,0,773,659,0,0,680,842,0,969,592,259,754,751,0,0,0,466,0,0,0,0,421,351,680,0,0,0,424,0,262,0,805,0,842,466,0,0;0,954,0,0,0,786,309,0,0,426,954,0,0,170,845,0,161,654,0,0,0,0,0,53,0,846,0,590,0,33,0,170,53,0,0,0,0,167,0,0,0,845,0,0,0,0,116,262,445,722,786,0,846,0,0,0,779,352,543,0,309,161,0,0,116,779,0,0,361,387,0,654,590,167,262,352,0,0,0,502,0,0,0,0,445,543,361,0,0,0,426,0,33,0,722,0,387,502,0,0;6;7;1207;1592;10
18;826,91,155,982,411,898,440,223,177,428;937,151,720,747,107,324,217,990,418,735;0,0,0,475,0,0,0,456,0,0,0,0,709,887,588,879,369,0,0,652,0,709,0,0,185,919,719,593,0,0,475,887,0,0,645,163,0,0,0,0,0,588,185,645,0,0,541,433,403,393,0,879,919,163,0,0,515,662,458,355,0,369,719,0,541,515,0,0,588,0,456,0,593,0,433,662,0,0,0,0,0,0,0,0,403,458,588,0,0,0,0,652,0,0,393,355,0,0,0,0;0,0,0,981,0,0,0,22,0,0,0,0,336,608,428,170,179,0,0,473,0,336,0,0,526,444,374,957,0,0,981,608,0,0,47,797,0,0,0,0,0,428,526,47,0,0,193,970,701,453,0,170,444,797,0,0,24,354,465,678,0,179,374,0,193,24,0,0,806,0,22,0,957,0,970,354,0,0,0,0,0,0,0,0,701,465,806,0,0,0,0,473,0,0,453,678,0,0,0,0;2;7;1581;955;10
19;598,299,568,36,864,160,255,571,78,62;927,273,282,386,710,332,826,369,82,466;0,0,0,393,583,436,754,169,0,348,0,0,513,0,619,0,0,0,673,376,0,513,0,514,627,0,0,162,334,0,393,0,514,0,0,763,880,0,201,364,583,619,627,0,0,0,0,0,0,0,436,0,0,763,0,0,496,317,0,484,754,0,0,880,0,496,0,0,0,0,169,0,162,0,0,317,0,0,0,442,0,673,334,201,0,0,0,0,0,302,348,376,0,364,0,484,0,442,302,0;0,0,0,795,956,401,333,46,0,993,0,0,153,0,985,0,0,0,728,20,0,153,0,538,755,0,0,343,416,0,795,0,538,0,0,23,619,0,563,145,956,985,755,0,0,0,0,0,0,0,401,0,0,23,0,0,293,144,0,169,333,0,0,619,0,293,0,0,0,0,46,0,343,0,0,144,0,0,0,448,0,728,416,563,0,0,0,0,0,765,993,20,0,145,0,169,0,448,765,0;4;3;1141;1617;10
20;313,320,371,305,814,291,740,289,783,21;146,975,297,459,388,383,520,57,175,939;0,586,0,0,0,0,0,0,0,272,586,0,682,766,238,812,0,472,949,643,0,682,0,0,0,0,112,672,0,0,0,766,0,0,0,481,298,503,348,574,0,238,0,0,0,619,0,0,739,0,0,812,0,481,619,0,697,0,0,224,0,0,112,298,0,697,0,0,0,703,0,472,672,503,0,0,0,0,0,185,0,949,0,348,739,0,0,0,0,916,272,643,0,574,0,224,703,185,916,0;0,437,0,0,0,0,0,0,0,485,437,0,477,681,376,467,0,820,840,535,0,477,0,0,0,0,434,819,0,0,0,681,0,0,0,767,75,620,848,60,0,376,0,0,0,563,0,0,732,0,0,467,0,767,563,0,786,0,0,643,0,0,434,75,0,786,0,0,0,179,0,820,819,620,0,0,0,0,0,675,0,840,0,848,732,0,0,0,0,379,485,535,0,60,0,643,179,675,379,0;4;2;920;1932;10
21;271,225,985,590,540,464,116,257,821,692;559,446,679,70,441,474,552,117,794,213;0,0,859,0,0,126,538,0,639,0,0,0,457,0,0,0,0,847,0,711,859,457,0,357,0,858,0,0,570,406,0,0,357,0,813,0,435,295,0,102,0,0,0,813,0,0,642,0,0,909,126,0,858,0,0,0,0,869,0,894,538,0,0,435,642,0,0,0,912,475,0,847,0,295,0,869,0,0,0,273,639,0,570,0,0,0,912,0,0,853,0,711,406,102,909,894,475,273,853,0;0,0,275,0,0,857,984,0,392,0,0,0,535,0,0,0,0,819,0,74,275,535,0,147,0,708,0,0,160,838,0,0,147,0,188,0,879,762,0,249,0,0,0,188,0,0,599,0,0,497,857,0,708,0,0,0,0,15,0,924,984,0,0,879,599,0,0,0,834,65,0,819,0,762,0,15,0,0,0,728,392,0,160,0,0,0,834,0,0,713,0,74,838,249,497,924,65,728,713,0;6;7;748;1330;10
22;275,254,188,980,703,174,17,707,460,472;485,297,401,113,550,909,690,661,761,136;0,0,0,573,394,622,0,0,0,122,0,0,260,781,707,90,0,530,0,0,0,260,0,0,0,0,594,0,620,460,573,781,0,0,179,700,0,269,0,0,394,707,0,179,0,618,0,287,0,513,622,90,0,700,618,0,0,457,697,643,0,0,594,0,0,0,0,189,143,0,0,530,0,269,287,457,189,0,0,0,0,0,620,0,0,697,143,0,0,0,122,0,460,0,513,643,0,0,0,0;0,0,0,727,407,122,0,0,0,700,0,0,212,149,921,961,0,263,0,0,0,212,0,0,0,0,174,0,859,470,727,149,0,0,866,846,0,810,0,0,407,921,0,866,0,628,0,379,0,565,122,961,0,846,628,0,0,662,270,124,0,0,174,0,0,0,0,294,222,0,0,263,0,810,379,662,294,0,0,0,0,0,859,0,0,270,222,0,0,0,700,0,470,0,565,124,0,0,0,0;3;6;458;1769;10
23;92,733,835,705,442,750,527,930,406,87;131,47,511,87,689,800,101,279,651,623;0,413,763,0,0,0,0,0,0,0,413,0,437,0,0,725,0,564,0,0,763,437,0,0,402,1022,759,296,0,513,0,0,0,0,0,655,0,0,807,341,0,0,402,0,0,0,404,391,0,124,0,725,1022,655,0,0,347,916,879,0,0,0,759,0,404,347,0,594,0,281,0,564,296,0,391,916,594,0,0,442,0,0,0,807,0,879,0,0,0,510,0,0,513,341,124,0,281,442,510,0;0,367,8,0,0,0,0,0,0,0,367,0,452,0,0,190,0,186,0,0,8,452,0,0,213,343,539,544,0,815,0,0,0,0,0,264,0,0,697,27,0,0,213,0,0,0,463,807,0,99,0,190,343,264,0,0,77,875,449,0,0,0,539,0,463,77,0,124,0,668,0,186,544,0,807,875,124,0,0,662,0,0,0,697,0,449,0,0,0,131,0,0,815,27,99,0,668,662,131,0;6;3;622;1565;10
24;598,299,568,36,864,160,255,571,78,62;927,273,282,386,710,332,826,369,82,466;0,0,0,393,583,436,754,169,0,348,0,0,513,0,619,0,0,0,673,376,0,513,0,514,627,0,0,162,334,0,393,0,514,0,0,763,880,0,201,364,583,619,627,0,0,0,0,0,0,0,436,0,0,763,0,0,496,317,0,484,754,0,0,880,0,496,0,0,0,0,169,0,162,0,0,317,0,0,0,442,0,673,334,201,0,0,0,0,0,302,348,376,0,364,0,484,0,442,302,0;0,0,0,795,956,401,333,46,0,993,0,0,153,0,985,0,0,0,728,20,0,153,0,538,755,0,0,343,416,0,795,0,538,0,0,23,619,0,563,145,956,985,755,0,0,0,0,0,0,0,401,0,0,23,0,0,293,144,0,169,333,0,0,619,0,293,0,0,0,0,46,0,343,0,0,144,0,0,0,448,0,728,416,563,0,0,0,0,0,765,993,20,0,145,0,169,0,448,765,0;2;5;479;693;10
