PartcipantID:1
RandID:1
InitialTimeStamp:16-34-19-029
instanceNumber;cx;cy;distances;sol;nCities
11;362,421,21,651,857,250,870,969,465,168;225,446,334,844,63,10,261,148,774,958;0,26,43,97,227,460,59,967,768,172,26,0,349,387,681,111,120,11,610,361,43,349,0,558,453,291,387,724,866,197,97,387,558,0,423,7,326,781,672,13,227,681,453,423,0,884,653,179,83,511,460,111,291,7,884,0,92,105,248,129,59,120,387,326,653,92,0,912,184,474,967,11,724,781,179,105,912,0,333,772,768,610,866,672,83,248,184,333,0,928,172,361,197,13,511,129,474,772,928,0;835;10
12;4,93,223,839,790,533,916,804,726,509;70,589,290,584,200,873,90,18,810,66;0,541,877,909,712,202,791,116,225,772,541,0,294,28,127,677,10,155,371,583,877,294,0,318,538,820,933,39,165,235,909,28,318,0,7,459,982,529,424,17,712,127,538,7,0,144,659,38,121,327,202,677,820,459,144,0,377,74,532,1,791,10,933,982,659,377,0,992,684,487,116,155,39,529,38,74,992,0,391,655,225,371,165,424,121,532,684,391,0,589,772,583,235,17,327,1,487,655,589,0;1159;10
13;641,575,965,563,349,563,744,71,674,341;824,275,678,99,908,665,537,27,75,761;0,856,365,395,733,415,442,151,986,271,856,0,466,704,323,620,677,207,915,388,365,466,0,751,925,661,903,146,191,730,395,704,751,0,387,241,781,447,537,323,733,323,925,387,0,852,69,475,620,702,415,620,661,241,852,0,430,112,958,111,442,677,903,781,69,430,0,740,146,60,151,207,146,447,475,112,740,0,3,485,986,915,191,537,620,958,146,3,0,812,271,388,730,323,702,111,60,485,812,0;1965;10
14;776,290,866,284,59,224,244,451,390,54;448,871,204,369,214,16,491,31,683,517;0,271,898,534,992,135,383,339,840,645,271,0,43,45,913,910,611,799,504,421,898,43,0,932,765,425,602,682,95,853,534,45,932,0,993,537,367,354,678,210,992,913,765,993,0,822,694,922,738,378,135,910,425,537,822,0,25,815,423,803,383,611,602,367,694,25,0,943,89,217,339,799,682,354,922,815,943,0,139,644,840,504,95,678,738,423,89,139,0,886,645,421,853,210,378,803,217,644,886,0;2103;10
15;898,476,969,365,393,972,665,511,306,167;183,958,673,5,864,959,62,420,909,268;0,748,595,315,659,507,423,683,738,175,748,0,538,754,626,209,163,264,180,13,595,538,0,985,480,485,178,883,562,616,315,754,985,0,127,346,909,26,335,969,659,626,480,127,0,358,61,732,925,956,507,209,485,346,358,0,114,317,919,777,423,163,178,909,61,114,0,953,974,862,683,264,883,26,732,317,953,0,856,553,738,180,562,335,925,919,974,856,0,817,175,13,616,969,956,777,862,553,817,0;2146;10
16;38,549,75,180,636,610,971,615,913,772;356,215,758,822,8,544,377,766,490,205;0,673,281,433,156,666,938,153,732,468,673,0,390,764,413,186,97,96,89,310,281,390,0,399,708,3,365,824,54,761,433,764,399,0,985,412,101,53,847,78,156,413,708,985,0,365,251,168,423,867,666,186,3,412,365,0,377,277,735,25,938,97,365,101,251,377,0,675,648,47,153,96,824,53,168,277,675,0,935,660,732,89,54,847,423,735,648,935,0,910,468,310,761,78,867,25,47,660,910,0;959;10
17;569,368,49,262,693,272,376,49,830,660;578,128,635,28,106,725,313,217,735,303;0,52,554,40,815,641,290,954,159,515,52,0,414,994,674,961,835,627,266,180,554,414,0,536,726,51,591,851,444,591,40,994,536,0,534,263,562,83,422,259,815,674,726,534,0,781,986,113,399,582,641,961,51,263,781,0,827,798,265,622,290,835,591,562,986,827,0,947,638,995,954,627,851,83,113,798,947,0,655,344,159,266,444,422,399,265,638,655,0,950,515,180,591,259,582,622,995,344,950,0;2283;10
18;561,554,863,37,138,751,347,179,89,940;70,779,453,734,697,947,214,905,3,122;0,559,65,183,442,936,858,34,275,497,559,0,886,407,92,10,181,101,349,663,65,886,0,384,982,419,186,198,534,488,183,407,384,0,442,885,32,221,321,934,442,92,982,442,0,393,624,316,274,636,936,10,419,885,393,0,882,586,716,605,858,181,186,32,624,882,0,380,180,167,34,101,198,221,316,586,380,0,686,486,275,349,534,321,274,716,180,686,0,890,497,663,488,934,636,605,167,486,890,0;1885;10
19;860,422,147,362,152,722,295,210,102,174;399,239,766,90,32,504,818,5,382,611;0,256,480,392,338,576,283,651,645,577,256,0,184,47,196,752,412,536,224,613,480,184,0,450,449,115,581,448,676,879,392,47,450,0,734,590,460,622,726,716,338,196,449,734,0,20,147,109,886,766,576,752,115,590,20,0,267,203,638,178,283,412,581,460,147,267,0,813,403,74,651,536,448,622,109,203,813,0,448,412,645,224,676,726,886,638,403,448,0,634,577,613,879,716,766,178,74,412,634,0;2214;10
20;990,264,480,408,401,450,106,767,894,798;801,106,973,971,755,607,275,540,485,1;0,89,917,472,421,64,696,170,718,222,89,0,238,873,798,361,499,413,624,259,917,238,0,999,586,71,581,282,683,952,472,873,999,0,976,430,286,975,268,414,421,798,586,976,0,909,229,542,873,652,64,361,71,430,909,0,855,673,323,689,696,499,581,286,229,855,0,983,215,812,170,413,282,975,542,673,983,0,937,392,718,624,683,268,873,323,215,937,0,590,222,259,952,414,652,689,812,392,590,0;2433;10
21;16,291,306,865,749,813,668,889,470,590;540,921,485,881,563,616,457,260,724,72;0,195,252,746,912,595,643,627,175,917,195,0,268,666,635,229,535,313,588,328,252,268,0,719,68,706,147,575,959,370,746,666,719,0,717,546,634,179,30,186,912,635,68,717,0,104,854,297,973,215,595,229,706,546,104,0,694,246,658,592,643,535,147,634,854,694,0,844,197,117,627,313,575,179,297,246,844,0,276,370,175,588,959,30,973,658,197,276,0,262,917,328,370,186,215,592,117,370,262,0;1581;10
22;776,356,540,156,990,13,86,914,722,75;64,637,807,411,760,63,928,438,869,191;0,719,437,131,611,599,70,614,404,428,719,0,983,912,727,675,280,270,857,516,437,983,0,349,199,479,678,850,909,374,131,912,349,0,824,69,981,948,133,297,611,727,199,824,0,645,280,196,328,614,599,675,479,69,645,0,669,18,931,670,70,280,678,981,280,669,0,969,880,651,614,270,850,948,196,18,969,0,307,212,404,857,909,133,328,931,880,307,0,876,428,516,374,297,614,670,651,212,876,0;2169;10
23;94,381,53,436,651,690,237,168,149,65;813,624,26,50,905,236,4,145,209,606;0,430,801,674,277,644,211,384,120,477,430,0,623,739,249,26,439,375,207,763,801,623,0,409,884,971,255,962,365,967,674,739,409,0,8,237,951,140,772,801,277,249,884,8,0,431,71,133,444,444,644,26,971,237,431,0,300,117,488,897,211,439,255,951,71,300,0,423,3,488,384,375,962,140,133,117,423,0,457,669,120,207,365,772,444,488,3,457,0,918,477,763,967,801,444,897,488,669,918,0;2213;10
24;660,334,760,260,264,427,62,63,514,224;132,311,287,196,695,691,623,565,635,441;0,116,62,412,648,441,243,469,386,748,116,0,718,488,99,95,568,878,273,775,62,718,0,343,267,234,117,420,250,120,412,488,343,0,477,607,618,274,226,501,648,99,267,477,0,653,918,17,929,672,441,95,234,607,653,0,193,575,947,529,243,568,117,618,918,193,0,901,228,395,469,878,420,274,17,575,901,0,726,224,386,273,250,226,929,947,228,726,0,283,748,775,120,501,672,529,395,224,283,0;1612;10
