PartcipantID:1
RandID:1
InitialTimeStamp:16-37-09-297
instanceNumber;cx;cy;distances;sol;nCities
13;257,143,350,606,14,683,435,446,909,329;587,962,853,764,857,172,508,53,447,948;0,362,73,384,392,173,52,357,628,743,362,0,423,710,106,366,402,429,826,1040,73,423,0,311,440,233,21,418,568,670,384,710,311,0,700,526,332,702,378,363,392,106,440,700,0,437,422,525,767,1008,173,366,233,526,437,0,218,184,800,890,52,402,21,332,422,218,0,403,582,690,357,429,418,702,525,184,403,0,985,1064,628,826,568,378,767,800,582,985,0,346,743,1040,670,363,1008,890,690,1064,346,0;2752;10
14;23,932,353,339,782,16,442,668,818,471;218,827,952,693,854,16,12,306,351,319;0,145,973,892,858,164,866,648,723,357,145,0,983,834,858,52,984,777,740,466,973,983,0,451,138,1036,805,844,250,744,892,834,451,0,345,880,1119,1068,433,833,858,858,138,345,0,910,815,814,159,664,164,52,1036,880,910,0,1022,809,792,505,866,984,805,1119,815,1022,0,237,687,518,648,777,844,1068,814,809,237,0,662,325,723,740,250,433,159,792,687,662,0,505,357,466,744,833,664,505,518,325,505,0;3389;10
15;402,788,668,169,133,747,457,933,109,209;824,311,692,506,215,75,483,928,75,431;0,226,262,777,584,519,686,606,454,805,226,0,155,597,360,540,749,712,641,609,262,155,0,722,430,687,887,835,716,719,777,597,722,0,353,602,790,867,1002,94,584,360,430,353,0,682,904,924,947,315,519,540,687,602,682,0,223,265,454,682,686,749,887,790,904,223,0,152,453,877,606,712,835,867,924,265,152,0,305,948,454,641,716,1002,947,454,453,305,0,1065,805,609,719,94,315,682,877,948,1065,0;2922;10
16;863,693,13,989,414,543,13,161,214,684;588,255,268,261,91,594,817,618,711,28;0,628,331,575,429,622,186,643,621,446,628,0,420,702,335,34,530,28,394,243,331,420,0,348,435,399,155,422,623,377,575,702,348,0,783,673,405,693,969,720,429,335,435,783,0,353,441,362,200,97,622,34,399,673,353,0,516,23,424,258,186,530,155,405,441,516,0,538,641,415,643,28,422,693,362,23,538,0,422,269,621,394,623,969,200,424,641,422,0,248,446,243,377,720,97,258,415,269,248,0;2509;10
17;23,446,464,189,64,766,968,15,541,772;863,327,96,859,206,680,521,276,50,264;0,408,378,636,636,348,152,369,573,643,408,0,775,1044,895,663,553,315,758,909,378,775,0,301,449,240,226,725,509,444,636,1044,301,0,659,531,494,930,770,646,636,895,449,659,0,291,536,996,184,20,348,663,240,531,291,0,247,715,283,296,152,553,226,494,536,247,0,508,515,540,369,315,725,930,996,715,508,0,907,1005,573,758,509,770,184,283,515,907,0,205,643,909,444,646,20,296,540,1005,205,0;3129;10
18;791,568,207,381,204,133,435,698,857,914;61,797,162,554,450,483,128,265,569,266;0,920,902,704,127,1209,921,599,1104,76,920,0,167,514,865,345,153,547,193,940,902,167,0,631,826,306,318,432,237,936,704,514,631,0,726,856,400,738,688,682,127,865,826,726,0,1132,887,487,1041,202,1209,345,306,856,1132,0,464,708,175,1242,921,153,318,400,887,464,0,646,291,930,599,547,432,738,487,708,646,0,670,658,1104,193,237,688,1041,175,291,670,0,1129,76,940,936,682,202,1242,930,658,1129,0;3031;10
19;408,145,743,104,529,932,788,600,874,399;665,696,505,586,96,718,824,477,899,313;0,704,882,382,597,118,764,762,699,689,704,0,180,637,393,585,400,500,547,81,882,180,0,779,490,764,485,596,615,203,382,637,779,0,327,353,886,930,355,580,597,393,490,327,0,506,746,825,169,316,118,585,764,353,506,0,662,671,627,572,764,400,485,886,746,662,0,112,914,477,762,500,596,930,825,671,112,0,994,574,699,547,615,355,169,627,914,994,0,467,689,81,203,580,316,572,477,574,467,0;2869;10
20;921,57,349,892,445,528,811,362,92,694;729,612,915,320,157,114,862,35,915,787;0,88,279,569,500,300,318,222,463,100,88,0,360,563,428,244,384,223,390,188,279,360,0,548,690,573,111,450,657,184,569,563,548,0,458,783,446,783,455,573,500,428,690,458,0,514,646,616,37,579,300,244,573,783,514,0,619,176,480,389,318,384,111,446,646,619,0,520,617,244,222,223,450,783,616,176,520,0,579,275,463,390,657,455,37,480,617,579,0,543,100,188,184,573,579,389,244,275,543,0;2303;10
21;996,719,231,937,30,352,316,520,399,965;356,846,518,557,288,92,795,566,471,872;0,883,350,803,534,851,828,552,772,1045,883,0,1005,1058,732,190,856,353,151,915,350,1005,0,498,374,907,604,748,864,831,803,1058,498,0,364,892,250,955,909,420,534,732,374,364,0,592,297,591,581,511,851,190,907,892,592,0,678,401,108,726,828,856,604,250,297,678,0,823,714,227,552,353,748,955,591,401,823,0,294,963,772,151,864,909,581,108,714,294,0,791,1045,915,831,420,511,726,227,963,791,0;3455;10
22;170,482,818,574,144,335,234,753,39,825;247,758,736,357,130,732,213,521,908,241;0,738,491,237,784,287,277,797,1086,710,738,0,402,576,717,451,461,623,935,854,491,402,0,469,401,289,284,357,688,473,237,576,469,0,843,180,185,822,1143,829,784,717,401,843,0,673,664,116,302,222,287,451,289,180,673,0,15,644,970,685,277,461,284,185,664,15,0,638,962,672,797,623,357,822,116,644,638,0,334,331,1086,935,688,1143,302,970,962,334,0,433,710,854,473,829,222,685,672,331,433,0;3208;10
23;926,736,776,879,183,418,469,241,493,996;289,349,660,46,850,411,109,510,182,455;0,516,395,522,528,214,598,520,360,558,516,0,122,73,676,367,233,210,263,228,395,122,0,134,619,265,266,208,174,241,522,73,134,0,734,399,161,138,222,155,528,676,619,734,0,403,885,826,730,861,214,367,265,399,403,0,522,453,332,490,598,233,266,161,885,522,0,78,242,43,520,210,208,138,826,453,78,0,164,38,360,263,174,222,730,332,242,164,0,200,558,228,241,155,861,490,43,38,200,0;2157;10
24;128,967,748,894,83,412,718,250,790,269;504,745,286,635,188,643,423,259,778,922;0,268,227,268,337,448,392,621,283,401,268,0,463,178,603,538,560,843,374,650,227,463,0,495,190,615,202,634,230,188,268,178,495,0,585,368,644,721,488,667,337,603,190,585,0,586,342,480,421,135,448,538,615,368,586,0,813,443,732,714,392,560,202,644,342,813,0,818,201,250,621,843,634,721,480,443,818,0,846,605,283,374,230,488,421,732,201,846,0,387,401,650,188,667,135,714,250,605,387,0;2746;10
